feature	feature_kind	feature_label	feature_display	primary_theme	primary_theme_label	secondary_theme	expected_aging_direction	expected_direction_basis	confidence	evidence_source	evidence_citations	biological_role	interpretation_caution
prop__deuterosomal	prop	deuterosomal	deuterosomal	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	deuterosomal mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__em_cd8	prop	em_cd8	em cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	em cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__early_inp	prop	early_inp	early inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	early inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__early_iosn	prop	early_iosn	early iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__early_mature_mosn	prop	early_mature_mosn	early mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__fully_mature_mosn	prop	fully_mature_mosn	fully mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	fully mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__gcb	prop	gcb	gcb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	gcb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__goblet	prop	goblet	goblet	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	goblet mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__inflammatory	prop	inflammatory	inflammatory	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	inflammatory mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__ionocyte	prop	ionocyte	ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__late_inp	prop	late_inp	late inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	late inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__late_iosn	prop	late_iosn	late iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	late iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__lipid_associated	prop	lipid_associated	lipid associated	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	lipid associated mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__mv_ionocyte	prop	mv_ionocyte	mv ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__mv_type1_chemosensory	prop	mv_type1_chemosensory	mv type1 chemosensory	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type1 chemosensory mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__mv_type2	prop	mv_type2	mv type2	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type2 mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__macrophage	prop	macrophage	macrophage	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	macrophage mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__mucous_gland	prop	mucous_gland	mucous gland	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	mucous gland mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__multiciliated	prop	multiciliated	multiciliated	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	multiciliated mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__naiveb	prop	naiveb	naiveb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naiveb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__naive_cd4	prop	naive_cd4	naive cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naive cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__naive_cd8	prop	naive_cd8	naive cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naive cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__nonclassical	prop	nonclassical	nonclassical	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	nonclassical mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__olf_sus	prop	olf_sus	olf sus	sustentacular_barrier_detox	Sustentacular/barrier/detox		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	olf sus mapped to sustentacular/barrier/detox.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__plasmacell	prop	plasmacell	plasmacell	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	plasmacell mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__pre_dysfunctional	prop	pre_dysfunctional	pre dysfunctional	stress_senescence	Stress/senescence		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	cell_state_annotation;literature	PMID:29934351;PMID:41461651;PMID:42228282	pre dysfunctional mapped to stress/senescence.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__proliferating_dc	prop	proliferating_dc	proliferating dc	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating dc mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__proliferating_mac	prop	proliferating_mac	proliferating mac	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating mac mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__proliferating_nk	prop	proliferating_nk	proliferating nk	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating nk mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__proliferating_secretory	prop	proliferating_secretory	proliferating secretory	cycling_proliferation	Cycling/proliferation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:42228282	proliferating secretory mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__proliferating_tcell	prop	proliferating_tcell	proliferating tcell	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating tcell mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__quiescent_hbc	prop	quiescent_hbc	quiescent hbc	basal_quiescence	Basal quiescence		positive	Reserve basal-cell/quiescent-state features can increase with impaired turnover.	high	cell_state_annotation;literature	PMID:21677159;PMID:27560601;PMID:37260223;PMID:42228282	quiescent hbc mapped to basal quiescence.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__serous	prop	serous	serous	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	serous mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__stressed_mosn	prop	stressed_mosn	stressed mosn	stress_senescence	Stress/senescence		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	cell_state_annotation;literature	PMID:29934351;PMID:41461651;PMID:42228282	stressed mosn mapped to stress/senescence.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__suprabasal	prop	suprabasal	suprabasal	basal_activation	Basal activation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	high	cell_state_annotation;literature	PMID:21677159;PMID:37260223;PMID:42228282	suprabasal mapped to basal activation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
prop__tuft	prop	tuft	tuft	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	tuft mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
prop__cdc1	prop	cdc1	cdc1	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cdc1 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__cdc2	prop	cdc2	cdc2	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cdc2 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__maturedc	prop	maturedc	maturedc	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	maturedc mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
prop__pdc	prop	pdc	pdc	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	pdc mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__antigen_presenting	clr	antigen_presenting	antigen presenting	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	antigen presenting mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__bowman_gland	clr	bowman_gland	bowman gland	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	bowman gland mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__cd56bright	clr	cd56bright	cd56bright	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cd56bright mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__cm_cd4	clr	cm_cd4	cm cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cm cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__classical	clr	classical	classical	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	classical mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__club	clr	club	club	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	club mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__complement_high	clr	complement_high	complement high	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	complement high mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__cycling_hbc	clr	cycling_hbc	cycling hbc	cycling_proliferation	Cycling/proliferation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:42228282	cycling hbc mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__cytotoxic_cd4	clr	cytotoxic_cd4	cytotoxic cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cytotoxic cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__cytotoxic_cd8	clr	cytotoxic_cd8	cytotoxic cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cytotoxic cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__deuterosomal	clr	deuterosomal	deuterosomal	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	deuterosomal mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__em_cd8	clr	em_cd8	em cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	em cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__early_inp	clr	early_inp	early inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	early inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__early_iosn	clr	early_iosn	early iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__early_mature_mosn	clr	early_mature_mosn	early mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__fully_mature_mosn	clr	fully_mature_mosn	fully mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	fully mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__gcb	clr	gcb	gcb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	gcb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__goblet	clr	goblet	goblet	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	goblet mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__inflammatory	clr	inflammatory	inflammatory	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	inflammatory mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__ionocyte	clr	ionocyte	ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__late_inp	clr	late_inp	late inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	late inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__late_iosn	clr	late_iosn	late iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	late iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__lipid_associated	clr	lipid_associated	lipid associated	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	lipid associated mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__mv_ionocyte	clr	mv_ionocyte	mv ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__mv_type1_chemosensory	clr	mv_type1_chemosensory	mv type1 chemosensory	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type1 chemosensory mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__mv_type2	clr	mv_type2	mv type2	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type2 mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__macrophage	clr	macrophage	macrophage	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	macrophage mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__mucous_gland	clr	mucous_gland	mucous gland	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	mucous gland mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__multiciliated	clr	multiciliated	multiciliated	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	multiciliated mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__naiveb	clr	naiveb	naiveb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naiveb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__naive_cd4	clr	naive_cd4	naive cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naive cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
